warehouse_id,warehouse_name,region,capacity_sqft,manager_name,operating_hours,timezone,opened_date
WH-01,North Distribution Center 1,North,226863,Manager 01,06:00-22:00,America/Chicago,2015-05-18
WH-02,North Distribution Center 2,North,283397,Manager 02,06:00-22:00,America/Chicago,2015-10-02
WH-03,North Distribution Center 3,North,373586,Manager 03,06:00-22:00,America/Chicago,2016-02-16
WH-04,South Distribution Center 4,South,225918,Manager 04,06:00-22:00,America/Chicago,2016-07-02
WH-05,South Distribution Center 5,South,84077,Manager 05,06:00-22:00,America/Chicago,2016-11-16
WH-06,South Distribution Center 6,South,95502,Manager 06,06:00-22:00,America/Chicago,2017-04-02
WH-07,South Distribution Center 7,South,64875,Manager 07,06:00-22:00,America/Chicago,2017-08-17
WH-08,East Distribution Center 8,East,323466,Manager 08,06:00-22:00,America/Chicago,2018-01-01
WH-09,East Distribution Center 9,East,184595,Manager 09,06:00-22:00,America/Chicago,2018-05-18
WH-10,East Distribution Center 10,East,387671,Manager 10,06:00-22:00,America/Chicago,2018-10-02
WH-11,East Distribution Center 11,East,314702,Manager 11,06:00-22:00,America/Chicago,2019-02-16
WH-12,West Distribution Center 12,West,158665,Manager 12,06:00-22:00,America/Chicago,2019-07-03
WH-13,West Distribution Center 13,West,387261,Manager 13,06:00-22:00,America/Chicago,2019-11-17
WH-14,West Distribution Center 14,West,178473,Manager 14,06:00-22:00,America/Chicago,2020-04-02
WH-15,West Distribution Center 15,West,72817,Manager 15,06:00-22:00,America/Chicago,2020-08-17
WH-16,Central Distribution Center 16,Central,228533,Manager 16,06:00-22:00,America/Chicago,2021-01-01
WH-17,Central Distribution Center 17,Central,326135,Manager 17,06:00-22:00,America/Chicago,2021-05-18
WH-18,Central Distribution Center 18,Central,110960,Manager 18,06:00-22:00,America/Chicago,2021-10-02
