employee_id,business_unit_id,name,role_level,hire_date,termination_date,manager_id,location
EMP-0001,BU-01,Alex Smith,L2,2021-07-27,2023-05-11,MGR-BU-01-07,Dublin
EMP-0002,BU-01,Jordan Smith,L3,2019-03-09,2025-03-16,MGR-BU-01-16,Tokyo
EMP-0003,BU-01,Morgan Smith,L4,2022-05-28,,MGR-BU-01-08,Singapore
EMP-0004,BU-01,Taylor Smith,L5,2022-03-18,2024-10-22,MGR-BU-01-07,Sydney
EMP-0005,BU-01,Casey Smith,L3,2020-03-25,2025-03-25,MGR-BU-01-13,Toronto
EMP-0006,BU-01,Riley Smith,L2,2022-05-02,2024-04-10,MGR-BU-01-06,Chicago
EMP-0007,BU-01,Avery Smith,L4,2022-11-30,,MGR-BU-01-04,New York
EMP-0008,BU-01,Quinn Smith,L3,2022-05-30,,MGR-BU-01-06,Amsterdam
EMP-0009,BU-01,Skylar Smith,L2,2020-01-13,2024-10-30,MGR-BU-01-18,Frankfurt
EMP-0010,BU-01,Peyton Smith,L3,2021-01-23,2023-01-19,MGR-BU-01-06,Dublin
EMP-0011,BU-01,Drew Smith,L4,2019-06-21,2024-12-01,MGR-BU-01-10,London
EMP-0012,BU-01,Reese Smith,L1,2022-12-10,,MGR-BU-01-12,Frankfurt
EMP-0013,BU-01,Blake Smith,L3,2022-03-29,2024-02-24,MGR-BU-01-20,Tokyo
EMP-0014,BU-01,Cameron Smith,L5,2023-02-03,2024-09-05,MGR-BU-01-01,Amsterdam
EMP-0015,BU-01,Logan Smith,L2,2022-05-12,2024-05-08,MGR-BU-01-01,Sydney
EMP-0016,BU-01,Harper Smith,L3,2019-01-29,2024-04-24,MGR-BU-01-10,Amsterdam
EMP-0017,BU-01,Emerson Smith,L1,2023-07-13,2024-07-23,MGR-BU-01-02,Toronto
EMP-0018,BU-01,Finley Smith,L3,2020-01-24,2024-08-18,MGR-BU-01-02,Frankfurt
EMP-0019,BU-01,Rowan Smith,L2,2019-02-11,2024-06-15,MGR-BU-01-07,Singapore
EMP-0020,BU-01,Sasha Smith,L1,2023-01-14,2024-08-30,MGR-BU-01-01,Frankfurt
EMP-0021,BU-01,Dakota Smith,L3,2022-12-25,2025-02-09,MGR-BU-01-01,Singapore
EMP-0022,BU-01,Jamie Smith,L2,2021-06-06,,MGR-BU-01-09,Frankfurt
EMP-0023,BU-01,Kendall Smith,L4,2020-01-18,2024-10-18,MGR-BU-01-11,Singapore
EMP-0024,BU-01,Lee Smith,L2,2022-03-23,2024-06-23,MGR-BU-01-19,Frankfurt
EMP-0025,BU-01,Micah Smith,L2,2020-07-05,2025-02-09,MGR-BU-01-15,Chicago
EMP-0026,BU-01,Noel Smith,L1,2022-08-01,,MGR-BU-01-19,Frankfurt
EMP-0027,BU-01,Parker Smith,L1,2019-08-27,2024-09-15,MGR-BU-01-15,Toronto
EMP-0028,BU-01,Robin Smith,L5,2022-03-29,2024-04-18,MGR-BU-01-03,New York
EMP-0029,BU-01,Sam Smith,L1,2022-01-31,2023-12-19,MGR-BU-01-04,London
EMP-0030,BU-01,Tatum Smith,L2,2022-05-20,2023-11-13,MGR-BU-01-13,New York
EMP-0031,BU-01,Uma Smith,L4,2022-10-09,2023-06-03,MGR-BU-01-12,Frankfurt
EMP-0032,BU-01,Val Smith,L3,2022-06-04,2024-04-02,MGR-BU-01-18,Frankfurt
