reason_code,channel_id,refund_pct,fee_waived
DEFECTIVE,CH01,1.0,1
DEFECTIVE,CH02,1.0,1
DEFECTIVE,CH03,1.0,1
DEFECTIVE,CH04,1.0,1
DEFECTIVE,CH05,1.0,1
CHANGED_MIND,CH01,0.9,0
CHANGED_MIND,CH02,0.9,0
CHANGED_MIND,CH03,0.65,0
CHANGED_MIND,CH04,0.9,0
CHANGED_MIND,CH05,0.9,0
WRONG_SIZE,CH01,1.0,0
WRONG_SIZE,CH02,1.0,0
WRONG_SIZE,CH03,1.0,0
WRONG_SIZE,CH04,1.0,0
WRONG_SIZE,CH05,1.0,0
NOT_AS_DESCRIBED,CH01,1.0,1
NOT_AS_DESCRIBED,CH02,1.0,1
NOT_AS_DESCRIBED,CH03,1.0,0
NOT_AS_DESCRIBED,CH04,1.0,1
NOT_AS_DESCRIBED,CH05,1.0,1
