worker_id,name,hire_date,employment_type,home_zone_id,is_trainer
W001,Linda Smith,2020-10-03,full_time,Z04,True
W002,Karen Davis,2019-02-15,full_time,Z04,True
W003,Joseph Jones,2019-10-18,full_time,Z11,True
W004,Michael Perez,2019-12-01,full_time,Z07,True
W005,Paul Williams,2020-08-05,full_time,Z09,True
W006,Donna Wilson,2019-04-05,full_time,Z06,True
W007,John Smith,2019-11-13,full_time,Z06,True
W008,Jennifer Miller,2019-04-22,full_time,Z08,True
W009,Joseph Taylor,2020-07-28,full_time,Z10,True
W010,Joshua Smith,2020-04-06,full_time,Z05,True
W011,Emily Miller,2019-12-29,full_time,Z10,True
W012,Paul Wilson,2019-10-14,full_time,Z03,True
W013,Joseph Anderson,2019-04-22,full_time,Z05,True
W014,Donna Rodriguez,2020-11-03,full_time,Z11,True
W015,James Harris,2020-04-17,full_time,Z12,True
W016,David Thompson,2021-12-16,full_time,Z12,False
W017,Sandra Hernandez,2022-03-30,full_time,Z04,False
W018,Karen Jones,2023-03-07,full_time,Z11,False
W019,Jessica Harris,2023-02-27,full_time,Z12,False
W020,Nancy Brown,2022-05-20,full_time,Z12,False
W021,Jennifer Gonzalez,2021-11-28,full_time,Z01,False
W022,Michael Lopez,2022-12-24,full_time,Z09,False
W023,Daniel Martin,2022-12-22,full_time,Z12,False
W024,Thomas Sanchez,2022-10-19,full_time,Z10,False
W025,John White,2021-03-21,full_time,Z03,False
W026,Ashley Moore,2022-06-02,full_time,Z10,False
W027,Linda Robinson,2022-11-04,full_time,Z02,False
W028,Matthew Williams,2023-11-07,full_time,Z06,False
W029,Emily Martinez,2022-07-30,full_time,Z08,False
W030,Michelle Lewis,2022-01-11,full_time,Z06,False
W031,Betty Jackson,2022-09-01,full_time,Z09,False
W032,Richard Thompson,2021-07-14,full_time,Z03,False
W033,Robert Johnson,2021-04-10,full_time,Z08,False
W034,Joseph Harris,2023-01-13,full_time,Z08,False
W035,Charles Williams,2023-12-16,full_time,Z08,False
W036,Joseph Ramirez,2023-07-16,full_time,Z04,False
W037,Michael Gonzalez,2022-10-02,full_time,Z04,False
W038,Karen Anderson,2021-02-14,full_time,Z04,False
W039,Betty Garcia,2023-12-18,full_time,Z06,False
W040,Betty Lopez,2022-05-08,full_time,Z08,False
W041,Jessica Perez,2021-11-14,full_time,Z05,False
W042,Karen Thompson,2023-09-05,full_time,Z05,False
W043,Robert Martin,2023-03-29,full_time,Z04,False
W044,David Moore,2023-04-01,full_time,Z03,False
W045,Sarah Garcia,2021-11-01,full_time,Z08,False
W046,Ashley Gonzalez,2023-12-23,full_time,Z10,False
W047,Karen Robinson,2022-05-11,full_time,Z04,False
W048,Emily Davis,2022-08-05,full_time,Z11,False
W049,Christopher Clark,2023-04-03,full_time,Z07,False
W050,Patricia Davis,2022-12-24,full_time,Z03,False
W051,John Sanchez,2021-07-08,full_time,Z05,False
W052,Christopher Gonzalez,2021-11-28,full_time,Z01,False
W053,Karen Williams,2022-01-31,full_time,Z01,False
W054,Jessica Robinson,2023-11-04,full_time,Z05,False
W055,Andrew Lewis,2023-02-22,full_time,Z06,False
W056,Christopher Miller,2022-02-06,full_time,Z10,False
W057,Dorothy Gonzalez,2023-03-16,full_time,Z02,False
W058,Ashley Jones,2023-03-20,full_time,Z11,False
W059,Thomas Jones,2022-03-08,full_time,Z03,False
W060,Sarah White,2022-03-18,full_time,Z02,False
W061,Emily Moore,2023-09-07,full_time,Z09,False
W062,Thomas White,2022-09-08,full_time,Z10,False
W063,Donna Wilson,2021-06-13,full_time,Z08,False
W064,Donna Gonzalez,2023-02-28,full_time,Z02,False
W065,Betty Davis,2022-10-08,full_time,Z02,False
W066,William Taylor,2022-07-12,full_time,Z05,False
W067,Dorothy Williams,2023-03-05,full_time,Z06,False
W068,Patricia Ramirez,2023-09-21,full_time,Z12,False
W069,Linda Jones,2021-12-28,full_time,Z04,False
W070,David Sanchez,2022-04-05,full_time,Z03,False
W071,Sandra Martin,2021-07-27,full_time,Z12,False
W072,Robert Gonzalez,2022-12-10,full_time,Z02,False
W073,Matthew Martin,2022-03-17,full_time,Z01,False
W074,Ashley Taylor,2022-01-10,full_time,Z06,False
W075,Thomas Moore,2023-02-02,full_time,Z05,False
W076,James Perez,2022-03-23,full_time,Z08,False
W077,Linda Perez,2022-05-24,full_time,Z11,False
W078,Paul Harris,2022-04-27,full_time,Z12,False
W079,Karen Harris,2021-10-11,full_time,Z04,False
W080,Nancy Brown,2021-05-18,full_time,Z12,False
W081,Charles Wilson,2023-06-25,full_time,Z08,False
W082,David Anderson,2021-04-11,full_time,Z01,False
W083,James White,2021-12-22,full_time,Z12,False
W084,Thomas Taylor,2023-01-01,full_time,Z02,False
W085,Susan Taylor,2021-05-24,full_time,Z08,False
W086,Michael Ramirez,2022-12-19,full_time,Z10,False
W087,Lisa Clark,2023-03-14,full_time,Z03,False
W088,Steven Martin,2022-12-27,full_time,Z04,False
W089,Richard Jones,2021-12-01,full_time,Z06,False
W090,Betty Harris,2021-01-22,full_time,Z11,False
W091,David Moore,2024-03-09,part_time,Z03,False
W092,Kimberly Robinson,2023-01-25,part_time,Z08,False
W093,James Martin,2024-01-09,part_time,Z06,False
W094,Christopher Thomas,2022-10-23,part_time,Z02,False
W095,Mary Brown,2022-09-27,part_time,Z09,False
W096,Betty Lewis,2023-12-21,part_time,Z10,False
W097,Lisa Davis,2024-04-17,part_time,Z07,False
W098,Patricia Davis,2024-02-19,part_time,Z03,False
W099,Andrew Williams,2023-12-01,part_time,Z02,False
W100,Jennifer White,2022-11-28,part_time,Z06,False
W101,Dorothy Clark,2024-03-28,part_time,Z07,False
W102,Robert Harris,2023-10-01,part_time,Z07,False
W103,Paul Harris,2022-10-04,part_time,Z03,False
W104,William Jones,2022-09-03,part_time,Z07,False
W105,Donald Moore,2024-02-26,part_time,Z04,False
W106,David Rodriguez,2022-12-18,part_time,Z09,False
W107,Kimberly Ramirez,2023-12-12,part_time,Z10,False
W108,Joshua Wilson,2022-09-10,part_time,Z08,False
W109,Jessica Robinson,2022-12-22,part_time,Z01,False
W110,Paul Harris,2022-12-24,part_time,Z12,False
W111,Richard Thompson,2022-12-23,part_time,Z01,False
W112,Lisa Gonzalez,2023-10-06,part_time,Z12,False
W113,Betty Anderson,2024-03-29,part_time,Z01,False
W114,Kimberly Anderson,2024-03-26,part_time,Z07,False
W115,Linda Davis,2023-11-24,part_time,Z02,False
W116,Joseph Williams,2022-10-26,part_time,Z02,False
W117,Nancy Smith,2024-05-02,part_time,Z09,False
W118,Donna Moore,2023-07-01,part_time,Z09,False
W119,Joseph Jackson,2023-07-04,part_time,Z02,False
W120,Joseph Smith,2023-10-26,part_time,Z12,False
W121,Robert Thompson,2023-12-14,part_time,Z04,False
W122,Patricia Davis,2024-04-26,part_time,Z04,False
W123,Robert Lewis,2023-07-31,part_time,Z04,False
W124,John Ramirez,2023-08-20,part_time,Z06,False
W125,Nancy Williams,2023-11-27,part_time,Z03,False
W126,Steven Davis,2022-12-04,part_time,Z06,False
W127,Karen Perez,2023-01-11,part_time,Z03,False
W128,Dorothy Miller,2023-08-31,part_time,Z01,False
W129,Paul Jones,2022-07-17,part_time,Z05,False
W130,Andrew Jackson,2023-01-20,part_time,Z09,False
W131,Donald Davis,2024-01-28,temp,Z10,False
W132,Donald Sanchez,2024-06-17,temp,Z05,False
W133,Anthony Miller,2023-10-12,temp,Z04,False
W134,Michael Brown,2023-08-07,temp,Z10,False
W135,Sandra Lopez,2023-08-29,temp,Z09,False
W136,Sandra Wilson,2024-01-10,temp,Z10,False
W137,Ashley Ramirez,2023-10-25,temp,Z11,False
W138,Patricia Perez,2023-01-13,temp,Z10,False
W139,Michael Johnson,2023-10-22,temp,Z12,False
W140,Margaret White,2023-08-07,temp,Z05,False
